timestamp,x,y,z
0,5.54,1.58,-8.09
10,5.7,1.58,-7.79
20,5.58,1.55,-7.79
30,5.63,1.46,-7.85
40,6.36,1.23,-7.89
50,8.28,1.3,-7.8
60,10.81,1.52,-7.81
70,13.58,1.24,-7.85
80,16.4,1.5,-7.51
90,18.49,1.59,-6.94
100,19.28,1.24,-6.05
110,18.05,0.74,-4.58
120,14.74,-0.16,-2.69
130,10.12,-1.12,-1.1
140,5.72,-1.4,-0.87
150,1.82,-1.38,-1.85
160,-0.83,-0.86,-3.62
170,-1.85,0.15,-5.75
180,-1.56,1.19,-7.65
190,-0.87,1.75,-8.41
200,-0.41,2.33,-7.41
210,-0.4,2.22,-5.04
220,-0.67,1.47,-2.49
230,-1.05,0.58,-0.93
240,-1.56,-0.28,-0.61
250,-2.16,-0.99,-1.49
260,-2.63,-1.95,-3.44
270,-2.23,-2.34,-6.31
280,-1.72,-2.19,-9.5
290,-1.89,-1.73,-11.77
300,-2.49,-1.27,-13.06
310,-3.34,-1.39,-13.33
320,-4.01,-1.32,-12.9
330,-4.58,-1.54,-11.94
340,-4.98,-1.85,-10.17
350,-5.06,-2.02,-7.64
360,-5.29,-2.6,-5.85
370,-5.78,-3.16,-5.37
380,-6.18,-3.6,-5.88
390,-6.43,-4.23,-6.57
400,-6.28,-4.82,-7.05
410,-5.94,-5.55,-7.8
420,-5.42,-6.22,-8.88
430,-5.25,-6.61,-9.79
440,-5.28,-6.95,-10.59
450,-5.79,-7.27,-10.99
460,-6.49,-7.99,-11.21
470,-6.45,-8.83,-11.49
480,-5.78,-9.36,-11.28
490,-5.55,-9.78,-11.22
500,-5.33,-10.09,-11.71
510,-5.91,-10.15,-12.04
520,-6.5,-10.21,-11.69
530,-6.74,-10.2,-10.96
540,-6.9,-10.58,-10.1
550,-7.0,-10.99,-9.32
560,-7.13,-11.35,-8.79
570,-7.09,-11.59,-8.95
580,-6.62,-11.47,-10.16
590,-6.91,-11.86,-12.32
600,-7.21,-12.17,-12.26
610,-7.09,-12.05,-11.09
620,-6.89,-11.73,-9.5
630,-6.42,-11.71,-9.06
640,-4.96,-11.49,-10.36
650,-2.07,-10.74,-13.31
660,0.58,-9.73,-16.44
670,0.83,-8.73,-17.27
680,-1.27,-7.56,-15.01
690,-3.48,-6.92,-11.48
700,-4.66,-6.49,-8.54
710,-4.15,-5.35,-7.86
720,-2.71,-4.14,-9.89
730,-2.1,-3.36,-12.73
740,-1.75,-2.92,-14.75
750,-1.63,-2.43,-15.43
760,-1.12,-3.25,-14.19
770,-1.25,-3.06,-11.09
780,-0.67,-2.61,-8.05
790,-0.49,-2.19,-5.93
800,-0.25,-0.56,-5.41
810,0.46,0.6,-5.9
820,0.05,1.23,-6.21
830,-0.76,1.84,-6.39
840,-0.9,2.13,-6.49
850,0.63,2.55,-6.53
860,3.45,3.22,-6.56
870,6.06,3.79,-6.39
880,6.95,3.77,-5.51
890,6.35,3.83,-4.17
900,5.84,4.14,-3.36
910,5.81,4.32,-3.56
920,5.14,4.26,-4.2
930,3.75,4.38,-4.36
940,2.7,4.48,-4.16
950,2.65,4.81,-3.88
960,2.97,5.13,-3.85
970,3.16,5.17,-4.32
980,3.81,5.28,-4.88
990,4.98,5.51,-5.45
1000,5.52,5.49,-6.23
