timestamp,x,y,z
0,1.12,2.94,-9.46
10,0.95,3.02,-9.7
20,0.93,3.08,-9.86
30,1.1,3.08,-9.81
40,1.38,3.08,-9.64
50,1.66,3.12,-9.49
60,1.87,3.24,-9.37
70,1.85,3.36,-9.28
80,1.67,3.39,-9.32
90,1.41,3.35,-9.37
100,1.22,3.32,-9.49
110,1.19,3.27,-9.66
120,1.31,3.23,-9.84
130,1.55,3.16,-9.93
140,1.92,3.17,-9.9
150,2.25,3.15,-9.75
160,2.52,3.16,-9.51
170,2.72,3.17,-9.26
180,2.87,3.19,-9.06
190,2.96,3.24,-8.88
200,2.84,3.24,-8.77
210,2.45,3.22,-8.82
220,1.89,3.29,-9.06
230,1.32,3.34,-9.27
240,0.97,3.3,-9.37
250,1.11,3.24,-9.31
260,1.53,3.18,-9.12
270,1.99,3.09,-8.77
280,2.42,3.0,-8.41
290,2.6,2.92,-8.04
300,2.43,2.83,-7.73
310,1.89,2.76,-7.38
320,1.14,2.66,-7.12
330,0.35,2.5,-6.84
340,-0.37,2.26,-6.55
350,-0.69,2.07,-6.11
360,-0.81,1.87,-5.67
370,-0.77,1.84,-5.08
380,-0.64,1.99,-4.22
390,-0.54,2.2,-3.19
400,-0.43,2.21,-2.24
410,-0.15,1.78,-1.44
420,-0.02,1.17,-1.02
430,-0.4,0.68,-1.14
440,-1.05,0.14,-1.92
450,-1.63,0.59,-3.3
460,-1.61,-0.39,-5.01
470,-1.58,0.34,-5.98
480,-0.96,1.19,-6.67
490,-0.38,0.99,-6.64
500,-0.35,0.35,-6.09
510,-0.34,-0.58,-5.71
520,-0.43,-1.46,-5.47
530,-0.57,-1.92,-5.62
540,-0.74,-1.99,-6.41
550,-0.96,-2.04,-7.79
560,-0.78,-2.05,-9.28
570,0.01,-2.41,-10.5
580,1.14,-2.88,-11.4
590,2.15,-3.44,-12.22
600,2.5,-3.83,-13.22
610,2.29,-4.03,-14.51
620,1.8,-4.25,-15.97
630,1.53,-4.42,-17.32
640,1.53,-4.63,-18.17
650,1.78,-4.97,-18.32
660,2.21,-5.23,-17.88
670,2.56,-5.46,-17.4
680,2.55,-5.42,-17.16
690,2.36,-5.13,-16.89
700,2.21,-4.84,-16.51
710,2.07,-4.78,-15.96
720,2.0,-4.83,-15.4
730,1.93,-4.88,-15.14
740,1.9,-4.87,-15.33
750,1.75,-4.68,-15.74
760,1.45,-4.48,-16.04
770,1.13,-4.35,-15.95
780,0.93,-4.33,-15.41
790,1.11,-4.37,-14.69
800,1.61,-4.41,-14.04
810,2.14,-4.44,-13.56
820,2.39,-4.41,-13.38
830,2.23,-4.27,-13.49
840,1.71,-4.17,-13.83
850,1.07,-4.09,-14.23
860,0.46,-4.08,-14.56
870,0.16,-4.09,-14.9
880,0.19,-4.27,-15.31
890,0.35,-4.36,-15.79
900,0.55,-4.48,-16.37
910,0.78,-4.71,-17.08
920,0.92,-4.88,-17.9
930,0.99,-5.0,-18.58
940,0.99,-5.05,-18.82
950,1.07,-5.28,-18.35
960,1.53,-5.5,-17.39
970,2.22,-5.69,-16.33
980,3.16,-5.78,-15.22
990,3.84,-5.69,-14.41
1000,4.19,-5.46,-13.65
