timestamp,x,y,z
0,-5.58,-5.61,5.36
10,-5.57,-5.72,5.46
20,-5.29,-5.61,5.89
30,-5.22,-5.72,6.28
40,-5.47,-5.68,6.6
50,-5.82,-5.8,6.94
60,-6.13,-5.94,7.18
70,-6.07,-6.1,7.29
80,-6.14,-6.17,7.74
90,-5.85,-6.3,8.17
100,-5.33,-6.04,8.52
110,-4.81,-6.25,9.31
120,-4.24,-6.54,10.08
130,-4.28,-7.03,11.27
140,-4.19,-7.24,11.53
150,-3.98,-7.03,11.39
160,-4.02,-7.12,11.51
170,-3.79,-6.9,10.92
180,-3.57,-6.68,10.33
190,-3.32,-6.67,10.04
200,-3.11,-6.29,9.86
210,-3.1,-5.72,9.54
220,-3.39,-5.27,8.81
230,-3.58,-4.69,7.82
240,-4.04,-4.29,6.81
250,-4.4,-3.75,5.81
260,-4.99,-3.28,4.82
270,-5.93,-2.69,4.09
280,-6.89,-2.29,3.43
290,-8.2,-2.31,2.45
300,-9.37,-2.31,1.25
310,-10.7,-2.29,-0.01
320,-12.76,-2.77,-2.15
330,-15.51,-3.45,-4.6
340,-18.36,-4.15,-6.52
350,-20.71,-4.39,-8.23
360,-21.33,-3.86,-8.31
370,-20.08,-2.27,-7.34
380,-17.52,-0.9,-6.45
390,-14.93,0.26,-5.53
400,-13.3,0.53,-4.47
410,-12.56,0.4,-2.72
420,-11.26,1.19,-1.32
430,-7.1,2.01,-0.39
440,-0.61,2.83,1.03
450,4.87,2.8,3.83
460,4.41,-0.28,8.49
470,3.34,-1.34,10.93
480,3.39,-2.06,10.34
490,2.65,-2.73,9.56
500,3.0,-2.94,8.72
510,3.29,-3.5,8.24
520,5.19,-4.13,8.26
530,6.31,-4.92,8.39
540,6.84,-5.25,8.25
550,7.08,-5.01,8.52
560,7.06,-4.61,9.0
570,6.84,-4.13,9.6
580,6.64,-3.44,10.12
590,7.08,-2.91,10.59
600,8.37,-2.25,10.93
610,9.4,-1.53,10.88
620,9.26,-1.24,10.43
630,8.77,-0.92,9.26
640,7.17,-0.37,9.54
650,6.8,-0.41,7.79
660,5.09,0.83,8.09
670,3.42,1.33,10.1
680,2.25,2.2,10.88
690,-0.36,1.91,11.5
700,-2.96,1.03,11.65
710,-5.84,-1.64,11.82
720,-7.58,-3.13,12.2
730,-7.79,-4.15,11.88
740,-7.47,-4.48,11.36
750,-7.23,-4.79,10.81
760,-6.67,-4.81,10.52
770,-5.98,-4.73,10.55
780,-5.33,-4.71,10.54
790,-4.58,-4.44,10.61
800,-3.87,-4.21,10.64
810,-3.2,-3.95,10.66
820,-2.72,-3.51,10.35
830,-2.58,-3.34,9.73
840,-2.67,-3.09,9.18
850,-3.12,-3.26,8.6
860,-3.37,-3.33,7.79
870,-3.67,-3.44,6.38
880,-3.92,-3.17,5.27
890,-4.41,-2.88,5.01
900,-4.82,-3.28,4.3
910,-6.19,-2.51,6.42
920,-7.69,-2.34,8.56
930,-9.5,-2.1,9.65
940,-8.73,-1.26,9.13
950,-6.74,0.04,8.6
960,-2.16,1.51,7.34
970,2.84,2.55,6.0
980,0.55,2.9,11.64
990,3.79,2.68,16.48
1000,3.81,2.74,14.3
