timestamp,x,y,z
0,-10.86,0.13,-8.94
10,-14.16,-0.89,-9.23
20,-15.61,-1.9,-10.37
30,-18.11,-3.0,-12.42
40,-18.92,-3.48,-15.17
50,-18.74,-3.98,-17.8
60,-18.45,-4.09,-19.2
70,-18.11,-4.44,-17.71
80,-16.43,-5.76,-13.04
90,-13.33,-6.68,-7.76
100,-9.34,-6.91,-4.11
110,-5.2,-7.01,-2.51
120,-1.19,-6.86,-2.8
130,2.93,-6.44,-4.87
140,6.54,-5.68,-7.35
150,8.96,-4.85,-9.04
160,10.3,-4.23,-9.22
170,10.67,-3.82,-8.08
180,10.8,-3.37,-6.8
190,11.28,-2.59,-6.1
200,12.37,-1.78,-6.15
210,13.48,-0.82,-6.66
220,14.14,-0.04,-7.24
230,14.08,0.34,-7.98
240,13.11,0.54,-9.27
250,11.76,0.8,-10.77
260,11.08,0.84,-11.77
270,11.15,0.97,-11.95
280,10.84,1.02,-11.12
290,9.86,0.94,-10.19
300,8.99,1.24,-10.41
310,8.54,1.82,-11.33
320,8.15,2.15,-11.88
330,7.27,2.14,-11.54
340,6.03,2.21,-10.95
350,5.2,2.14,-10.6
360,5.01,2.16,-10.78
370,5.52,2.43,-11.37
380,6.15,2.48,-11.21
390,6.7,2.02,-10.23
400,7.07,1.64,-9.16
410,7.03,1.26,-8.14
420,6.88,0.7,-7.58
430,7.1,0.2,-7.5
440,7.56,-0.06,-7.15
450,7.76,-0.41,-6.37
460,7.93,-0.68,-5.56
470,8.62,-0.9,-4.83
480,10.08,-1.27,-3.76
490,11.73,-2.04,-3.06
500,13.48,-2.91,-3.66
510,13.24,-3.41,-4.24
520,11.91,-4.11,-4.52
530,10.6,-4.69,-4.58
540,9.98,-4.84,-4.98
550,8.78,-4.86,-5.49
560,6.38,-5.13,-5.7
570,3.9,-5.29,-6.33
580,1.95,-5.07,-7.5
590,0.4,-5.07,-8.82
600,-1.28,-5.05,-9.79
610,-3.36,-5.02,-10.72
620,-5.72,-5.23,-12.21
630,-8.2,-5.38,-14.21
640,-10.5,-5.35,-16.36
650,-12.41,-5.17,-18.06
660,-13.49,-4.86,-18.77
670,-13.34,-4.46,-18.08
680,-11.95,-4.41,-16.04
690,-10.75,-4.54,-14.11
700,-10.4,-4.67,-13.38
710,-11.03,-4.64,-13.99
720,-12.1,-4.47,-15.04
730,-12.72,-4.04,-15.38
740,-12.59,-3.84,-14.69
750,-12.02,-3.92,-13.23
760,-11.71,-4.09,-11.74
770,-11.55,-4.5,-10.84
780,-11.84,-4.78,-10.88
790,-12.08,-5.02,-11.65
800,-11.5,-5.18,-12.21
810,-10.78,-5.36,-12.2
820,-10.5,-5.54,-11.9
830,-10.44,-5.79,-11.14
840,-10.32,-6.1,-10.39
850,-10.24,-6.13,-9.8
860,-10.15,-6.14,-9.37
870,-10.34,-6.22,-9.24
880,-10.99,-6.28,-9.37
890,-11.27,-6.51,-9.75
900,-11.18,-6.72,-10.03
910,-10.56,-6.94,-9.92
920,-9.22,-7.35,-9.31
930,-7.76,-7.98,-8.33
940,-6.65,-8.65,-7.38
950,-5.9,-9.05,-6.69
960,-5.4,-9.21,-6.29
970,-4.88,-9.57,-6.47
980,-4.28,-9.9,-7.33
990,-3.22,-10.3,-8.27
1000,-1.28,-10.98,-8.28
