timestamp,x,y,z
0,-6.76,-4.42,5.45
10,-6.73,-4.37,5.56
20,-6.61,-4.51,5.65
30,-6.45,-4.51,5.99
40,-6.49,-4.56,6.12
50,-6.69,-4.58,6.4
60,-7.01,-4.69,6.52
70,-7.47,-4.67,6.72
80,-8.27,-4.89,7.28
90,-9.1,-4.77,7.74
100,-9.07,-4.15,7.9
110,-9.33,-3.89,8.23
120,-9.31,-4.21,8.69
130,-9.39,-3.32,8.03
140,-9.47,-3.91,8.31
150,-9.52,-4.26,8.56
160,-9.36,-4.37,7.73
170,-9.34,-4.92,7.57
180,-9.6,-5.49,7.76
190,-9.71,-5.53,7.45
200,-9.54,-5.72,6.65
210,-9.04,-5.71,6.77
220,-7.65,-5.04,7.43
230,-6.32,-4.63,8.54
240,-5.12,-5.04,9.73
250,-3.8,-5.67,10.91
260,-1.82,-6.11,11.95
270,1.12,-4.6,11.87
280,3.45,-5.79,11.84
290,5.29,-5.99,12.24
300,6.79,-6.01,11.91
310,8.54,-5.07,11.35
320,10.5,-4.98,9.91
330,11.53,-6.56,9.59
340,11.2,-4.32,8.23
350,11.61,-2.99,6.28
360,11.11,-2.84,4.66
370,10.83,-2.57,3.13
380,9.95,-2.92,2.11
390,9.11,-2.22,1.54
400,8.21,-1.97,0.86
410,6.86,-1.07,-0.17
420,5.11,-1.75,-1.31
430,2.6,-2.1,-1.48
440,0.75,-1.93,-1.08
450,-0.72,-1.82,-1.11
460,-1.77,-1.36,-0.77
470,-2.14,-0.58,-0.27
480,-2.68,0.15,0.44
490,-3.01,0.35,0.82
500,-3.9,0.65,1.95
510,-3.31,0.8,3.26
520,-3.79,1.49,4.49
530,-3.53,1.31,5.61
540,-4.29,0.68,7.03
550,-4.81,0.4,8.93
560,-5.22,-0.72,10.66
570,-5.24,-0.77,11.56
580,-5.66,-0.74,9.93
590,-5.55,-0.23,8.7
600,-5.27,-0.01,9.72
610,-5.27,-0.56,10.17
620,-4.45,-0.15,9.94
630,-4.12,0.53,11.12
640,-3.66,1.14,9.64
650,-2.51,1.26,9.65
660,-2.08,1.23,10.95
670,-2.01,1.47,11.47
680,-1.53,2.06,11.64
690,-0.38,2.15,12.26
700,0.96,2.36,12.54
710,2.24,2.58,13.44
720,3.59,2.48,13.46
730,5.2,1.75,13.1
740,5.93,2.34,13.84
750,6.89,1.87,13.97
760,7.5,1.46,13.81
770,9.21,0.46,13.65
780,9.0,1.38,14.68
790,6.59,2.32,14.6
800,7.86,2.1,13.64
810,9.51,2.18,13.24
820,14.09,3.3,14.18
830,14.19,3.66,14.37
840,8.14,1.0,17.89
850,5.98,1.28,18.75
860,4.27,1.66,18.65
870,2.21,1.63,17.55
880,1.75,1.57,16.4
890,2.34,1.79,15.66
900,2.46,1.3,14.99
910,1.28,0.7,14.16
920,-0.71,0.32,12.95
930,-1.04,0.09,10.92
940,-0.28,-0.95,8.73
950,1.04,-3.63,7.34
960,1.55,-1.53,7.55
970,1.79,-1.92,8.49
980,1.69,-2.06,8.62
990,1.84,-1.72,7.23
1000,2.09,-1.99,5.1
