timestamp,x,y,z
0,3.06,3.14,-9.77
10,3.13,3.06,-9.69
20,3.14,3.06,-9.62
30,3.16,3.0,-9.66
40,3.19,2.97,-9.53
50,3.08,2.96,-9.3
60,2.91,2.95,-9.08
70,2.63,2.94,-8.87
80,2.34,3.03,-8.8
90,2.19,3.1,-8.83
100,2.2,3.24,-8.99
110,2.24,3.27,-9.2
120,2.25,3.26,-9.22
130,2.28,3.19,-9.18
140,2.33,3.15,-9.12
150,2.31,3.15,-9.08
160,2.2,3.17,-9.14
170,2.1,3.23,-9.13
180,2.11,3.3,-8.97
190,2.19,3.32,-8.63
200,2.2,3.35,-8.28
210,2.05,3.29,-7.95
220,1.72,3.28,-7.7
230,1.37,3.29,-7.51
240,1.05,3.3,-7.33
250,0.64,3.31,-7.13
260,0.23,3.34,-6.91
270,-0.2,3.29,-6.68
280,-0.65,3.29,-6.26
290,-1.05,3.23,-5.61
300,-1.41,3.13,-4.79
310,-1.47,2.95,-4.31
320,-1.46,2.74,-4.06
330,-1.75,2.53,-3.5
340,-2.44,2.01,-2.49
350,-2.86,1.09,-1.1
360,-2.49,0.24,0.08
370,-1.7,-0.94,0.49
380,-0.77,-1.82,0.88
390,0.27,-2.94,1.11
400,1.39,-4.28,1.24
410,2.49,-5.59,-0.28
420,3.12,-7.17,-2.63
430,3.14,-8.62,-4.54
440,2.94,-9.34,-7.16
450,2.84,-9.17,-11.7
460,2.85,-9.08,-15.33
470,2.19,-8.82,-18.01
480,1.05,-8.67,-19.65
490,0.01,-8.81,-20.21
500,-0.45,-9.11,-19.66
510,-1.06,-9.39,-18.29
520,-0.76,-9.3,-16.07
530,0.59,-9.43,-13.32
540,1.74,-9.53,-10.7
550,2.62,-9.55,-8.74
560,2.97,-9.53,-7.64
570,3.01,-9.54,-7.43
580,3.16,-9.58,-7.96
590,3.65,-9.67,-8.79
600,4.04,-9.73,-9.45
610,4.07,-9.83,-9.79
620,3.59,-10.09,-10.0
630,2.91,-10.07,-10.17
640,2.18,-10.03,-10.19
650,1.75,-9.78,-10.21
660,1.42,-9.37,-10.37
670,1.01,-9.17,-10.31
680,0.59,-9.33,-10.01
690,0.51,-9.52,-9.88
700,0.54,-9.61,-9.77
710,0.54,-9.58,-9.62
720,0.69,-9.56,-9.76
730,0.85,-9.32,-10.02
740,1.0,-9.09,-10.27
750,1.17,-8.89,-10.52
760,1.3,-8.78,-10.78
770,1.38,-8.81,-11.18
780,1.36,-8.79,-11.99
790,1.28,-8.77,-13.25
800,0.73,-9.01,-14.71
810,0.31,-9.11,-16.54
820,-0.12,-9.61,-19.0
830,-0.33,-10.44,-20.8
840,-0.45,-10.98,-22.18
850,-0.46,-11.74,-23.47
860,-0.07,-13.34,-23.63
870,0.61,-15.25,-22.12
880,1.17,-16.19,-19.04
890,1.11,-17.31,-15.11
900,1.33,-17.41,-11.02
910,1.93,-15.78,-7.16
920,2.07,-13.36,-4.09
930,1.99,-10.65,-1.49
940,2.54,-7.96,0.55
950,3.87,-6.82,2.04
960,3.94,-4.47,6.74
970,2.9,-3.5,11.31
980,1.61,-1.5,15.13
990,0.68,0.35,16.08
1000,0.59,1.9,13.37
