timestamp,x,y,z
0,-10.32,-1.33,5.67
10,-10.82,-0.95,6.15
20,-10.8,-1.2,6.11
30,-10.36,-1.11,5.7
40,-9.99,-1.0,5.26
50,-9.93,-0.98,5.15
60,-9.8,-1.01,5.27
70,-9.55,-1.02,5.38
80,-9.22,-0.91,5.58
90,-8.91,-0.74,6.34
100,-8.17,-0.97,6.01
110,-8.35,-0.46,6.26
120,-7.98,-0.99,6.96
130,-8.08,-1.25,7.02
140,-8.18,-1.08,6.51
150,-8.06,-1.48,6.49
160,-8.25,-1.61,6.64
170,-8.69,-1.9,6.72
180,-9.07,-2.16,6.77
190,-9.11,-2.27,6.75
200,-9.11,-2.43,6.58
210,-9.08,-2.51,6.53
220,-9.17,-2.9,6.74
230,-8.89,-3.0,7.04
240,-8.7,-3.05,7.11
250,-8.47,-3.14,7.22
260,-8.13,-3.35,7.6
270,-7.98,-3.41,7.62
280,-7.96,-3.74,7.49
290,-7.35,-4.04,7.37
300,-6.86,-4.1,7.26
310,-6.51,-4.15,7.32
320,-6.66,-4.17,6.84
330,-7.4,-5.74,6.98
340,-6.03,-3.73,5.95
350,-5.17,-4.79,5.9
360,-4.07,-4.3,5.82
370,-3.89,-4.75,5.57
380,-3.45,-4.54,5.28
390,-3.0,-4.48,4.88
400,-2.7,-4.41,4.81
410,-2.49,-4.3,4.9
420,-2.49,-4.18,5.0
430,-2.67,-4.05,5.13
440,-2.93,-3.99,5.23
450,-3.08,-3.83,5.4
460,-3.25,-3.68,5.6
470,-2.99,-3.47,5.7
480,-2.89,-3.08,5.67
490,-3.05,-2.75,5.5
500,-3.84,-2.43,5.3
510,-5.53,-2.21,5.51
520,-8.32,-2.07,5.22
530,-10.84,-1.71,4.2
540,-12.87,-1.21,4.22
550,-13.3,-0.74,5.33
560,-12.99,-0.28,8.35
570,-10.93,0.11,9.6
580,-8.96,0.81,9.22
590,-8.94,0.95,9.12
600,-8.65,0.95,9.03
610,-7.81,1.64,9.94
620,-5.42,2.16,10.94
630,-1.55,2.38,12.12
640,2.56,2.32,12.23
650,6.53,1.57,11.9
660,9.66,0.91,10.27
670,11.24,-0.36,7.93
680,11.71,-1.5,6.89
690,11.22,-2.77,6.75
700,11.19,-3.67,7.24
710,10.61,-4.14,8.44
720,9.6,-4.56,10.07
730,8.85,-4.18,12.22
740,8.73,-4.46,13.08
750,7.98,-4.04,12.88
760,7.05,-4.12,12.1
770,6.57,-4.17,10.99
780,6.57,-4.21,10.02
790,6.88,-4.23,9.25
800,6.69,-4.06,8.7
810,5.93,-3.64,7.64
820,5.08,-3.36,6.43
830,4.22,-2.53,5.46
840,3.26,-2.03,5.13
850,2.14,-1.41,5.54
860,1.16,-0.76,6.11
870,0.11,-0.26,6.97
880,-1.17,0.28,8.14
890,-2.38,0.55,9.11
900,-3.89,0.84,9.79
910,-6.25,0.39,10.66
920,-8.12,-0.19,11.13
930,-9.49,-0.69,11.06
940,-10.87,-1.58,10.78
950,-11.44,-2.26,10.75
960,-11.06,-2.77,10.53
970,-10.52,-2.63,10.28
980,-10.14,-2.63,9.94
990,-9.43,-2.41,9.62
1000,-8.71,-2.11,9.15
