timestamp,x,y,z
0,-0.63,2.23,-9.87
10,-1.52,2.21,-10.05
20,-3.24,2.26,-10.29
30,-5.52,2.34,-10.33
40,-7.6,2.3,-9.94
50,-9.37,2.14,-9.59
60,-11.12,1.8,-9.65
70,-12.8,1.25,-10.16
80,-14.12,0.3,-10.98
90,-14.75,-0.94,-12.08
100,-14.68,-1.89,-13.09
110,-13.58,-2.31,-13.56
120,-11.38,-2.49,-12.83
130,-8.96,-2.74,-11.04
140,-7.43,-3.04,-9.32
150,-6.04,-3.22,-8.16
160,-4.13,-3.7,-7.87
170,-2.24,-3.91,-8.44
180,-0.78,-4.07,-9.51
190,0.16,-4.0,-10.34
200,1.06,-3.8,-10.6
210,1.99,-3.41,-10.31
220,2.71,-3.0,-9.55
230,3.16,-2.75,-8.9
240,3.74,-2.55,-8.71
250,4.6,-2.4,-9.02
260,5.82,-2.3,-9.56
270,7.1,-1.98,-9.99
280,8.22,-1.45,-10.0
290,9.13,-1.02,-9.57
300,10.07,-0.66,-9.08
310,10.9,-0.51,-8.82
320,11.49,-0.48,-8.66
330,11.7,-0.27,-8.44
340,11.62,-0.02,-8.05
350,11.4,0.23,-7.79
360,11.31,0.51,-8.17
370,11.36,0.93,-8.75
380,11.3,1.2,-8.86
390,10.91,1.38,-8.74
400,10.15,1.61,-8.79
410,9.37,1.73,-8.89
420,8.62,1.67,-8.88
430,8.09,1.59,-8.79
440,7.82,1.53,-8.72
450,7.7,1.57,-8.59
460,7.59,1.5,-8.31
470,7.51,1.12,-7.99
480,7.52,0.79,-7.64
490,7.64,0.42,-7.03
500,8.11,-0.06,-6.33
510,8.99,-0.38,-5.66
520,10.25,-0.55,-4.84
530,11.81,-1.16,-4.28
540,12.92,-1.19,-3.96
550,13.39,-1.25,-4.18
560,13.11,-1.37,-5.03
570,12.14,-1.52,-6.4
580,11.09,-1.96,-7.5
590,10.86,-2.56,-7.68
600,11.49,-3.04,-7.21
610,12.32,-3.4,-7.13
620,12.16,-3.54,-7.81
630,10.37,-3.51,-8.63
640,7.5,-3.38,-8.98
650,4.6,-3.02,-8.83
660,2.02,-2.85,-8.3
670,0.02,-2.89,-7.82
680,-1.68,-3.12,-8.14
690,-3.26,-3.1,-9.69
700,-4.76,-3.13,-11.63
710,-6.41,-3.28,-13.32
720,-8.27,-3.28,-14.49
730,-9.85,-3.19,-14.99
740,-10.7,-3.16,-14.93
750,-10.71,-3.02,-14.43
760,-10.19,-3.16,-13.55
770,-9.76,-3.36,-12.94
780,-10.18,-3.47,-13.22
790,-10.83,-3.45,-13.73
800,-11.41,-3.21,-14.21
810,-11.52,-3.13,-13.68
820,-11.22,-3.01,-12.4
830,-11.09,-3.21,-10.89
840,-11.01,-3.49,-10.29
850,-10.51,-3.41,-10.79
860,-9.48,-3.25,-11.48
870,-9.08,-3.16,-11.66
880,-9.56,-3.21,-11.62
890,-9.88,-3.19,-11.48
900,-9.9,-3.19,-11.23
910,-9.64,-3.02,-11.13
920,-9.45,-3.01,-11.0
930,-8.79,-3.17,-10.55
940,-8.0,-3.37,-10.02
950,-7.64,-3.43,-9.86
960,-7.94,-3.55,-10.21
970,-8.37,-3.7,-10.8
980,-8.37,-3.76,-11.45
990,-7.67,-3.84,-11.62
1000,-6.9,-3.97,-11.1
